GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,59.3 [54.7-63.7],59.31441,54.73679,63.73580,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,27.0 [23.8-30.5],26.97898,23.76643,30.45230,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,16.5 [13.8-19.6],16.53292,13.83657,19.63497,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,24.9 [21.5-28.6],24.88006,21.48270,28.61887,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,36.4 [32.0-41.1],36.42040,32.01989,41.06039,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,65.5 [60.8-69.9],65.51918,60.83917,69.91644,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,62.3 [56.3-68.0],62.28944,56.26342,67.95803,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199605,05 rajashahi,,26.9 [23.1-31.1],26.87072,23.05885,31.05835,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,17.2 [15.1-19.6],17.24143,15.14445,19.56182,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,31.9 [28.7-35.3],31.92514,28.72118,35.30946,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,65.6 [61.0-69.9],65.57565,61.02274,69.85941,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199601,01 barisal,,27.7 [19.4-37.8],27.70971,19.43719,37.84894,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199602,02 chittagong,,34.8 [29.1-41.1],34.84953,29.05059,41.13490,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199603,03 dhaka,,29.2 [25.4-33.3],29.19320,25.37049,33.33462,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199604,04 khulna,,31.8 [26.1-38.1],31.77153,26.06946,38.07842,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,15.4 [12.6-18.7],15.40077,12.59424,18.69892,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,26.3 [23.8-28.9],26.25001,23.79620,28.86103,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199606,06 sylhet,,19.0 [12.5-27.7],18.98425,12.52293,27.72281,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199901,01 barisal,,37.0 [29.6-45.1],36.99882,29.57285,45.09550,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199902,02 chittagong,,29.9 [25.5-34.8],29.89916,25.45126,34.76192,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199903,03 dhaka,,35.1 [30.5-40.0],35.10981,30.49352,40.02254,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,29.3 [25.7-33.2],29.30159,25.72782,33.15022,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,70.7 [65.8-75.2],70.71816,65.80547,75.19114,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,32.9 [29.6-36.5],32.91916,29.56353,36.45851,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,59.8 [54.5-64.9],59.79523,54.48677,64.88358,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199904,04 khulna,,45.8 [38.7-53.0],45.76482,38.71021,52.99347,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199906,06 sylhet,,27.3 [23.5-31.5],27.27777,23.45290,31.46998,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,21.1 [17.7-25.0],21.12721,17.73191,24.97526,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,23.2 [19.8-27.1],23.24542,19.75883,27.13916,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,43.2 [38.8-47.7],43.18274,38.78781,47.68769,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,21.3 [18.9-23.8],21.25279,18.90980,23.80088,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,60.0 [56.3-63.7],60.01733,56.26889,63.65202,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,29.6 [27.1-32.3],29.63935,27.09805,32.31335,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS199905,05 rajashahi,,35.3 [30.2-40.7],35.25132,30.15042,40.71221,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,31.9 [28.7-35.3],31.91158,28.69675,35.30822,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,48.1 [44.3-51.9],48.07248,44.27358,51.89380,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,26.6 [22.8-30.8],26.58329,22.75231,30.80211,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,50.5 [46.1-55.0],50.53328,46.05437,55.00364,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,72.0 [68.5-75.3],72.00674,68.50803,75.25715,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200403,03 dhaka,,51.1 [45.9-56.3],51.11054,45.85174,56.34488,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200405,05 rajshahi,,53.6 [47.0-60.0],53.55079,47.01740,59.96454,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,64.7 [59.9-69.2],64.71147,59.91676,69.22720,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,83.7 [80.4-86.5],83.67017,80.43729,86.45874,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,44.5 [41.3-47.9],44.54765,41.25781,47.88597,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,74.3 [69.6-78.4],74.26113,69.63899,78.39788,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200401,01 barisal,,39.8 [33.6-46.3],39.77482,33.56349,46.33397,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200402,02 chittagong,,47.8 [41.4-54.3],47.79979,41.35423,54.31945,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,39.6 [34.6-44.7],39.56868,34.63947,44.71940,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200404,04 khulna,,58.3 [51.3-64.9],58.25223,51.31232,64.87998,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS200406,06 sylhet,,44.0 [35.8-52.6],44.04380,35.84179,52.58440,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,27.1 [25.2-29.2],27.11642,25.15146,29.17507,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,35.1 [32.9-37.4],35.10588,32.90478,37.37220,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,44.9 [42.4-47.5],44.91092,42.35192,47.49714,,,
