GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,2,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,SWE,Sweden,,,,,1,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,SWE,Sweden,,,,,1,,,,,,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,SWE,Sweden,,,,,1,,,,,,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,SWE,Sweden,,,,,1,,,,,,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,SWE,Sweden,,,,,1 ,,,,,,1 of 1  reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,SWE,Sweden,,,,,1,1.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1971,1971,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1973,1973,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1974,1974,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1976,1976,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1979,1979,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1987,1987,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,SWE,Sweden,,,,,0.00,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,SWE,Sweden,,,,,0,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,SWE,Sweden,,,,,0.00,,,,,,
CHOLERA_0000000003,Cholera case fatality rate,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2445,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,SWE,Sweden,,,,,0,0.00000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.79800,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.76900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.71700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.65200,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.58600,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.52400,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.47300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.43400,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.40600,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.38900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.37900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.37400,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.37300,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.37100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.36700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.36100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.35500,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.35000,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.34500,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.34100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33800,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33700,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33800,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33900,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.34100,,,,,
CM_01,Number of under-five deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2712,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.34200,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.68100,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.64900,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.60700,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,SWE,Sweden,,,,,1,0.54900,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.48600,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.43100,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.38600,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.35300,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.33200,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31600,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31300,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31400,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31200,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31200,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.30400,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.30400,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.29400,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.29100,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28800,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28300,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.27700,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28000,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28300,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.27600,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.27900,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28200,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28600,,,,,
CM_02,Number of infant deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2711,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.27900,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.40700,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.39200,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.37300,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.34800,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.31800,,,,,
CM_03,Number of neonatal deaths (thousands),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2714,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,SWE,Sweden,,,,,<1,0.28600,,,,,
